id,customer_text,brand_text,auto_intent,auto_confidence,auto_decision,auto_reason,human_intent,human_decision,human_reason,notes
18,"@SpotifyCares I'm a premium user and after updating Spotify based on the program notification I get ""Cannot find 'API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL'. I'm using Windows 7 64bit.","@248476 2: Once done, just download a new installer at https://t.co/cgbgyQ4C7a and reinstall the app. Let us know how it plays out /LM",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
19,"Having issues on my #iPhoneX with @115888. Playing Spotify if another app steals audio (say YouTube), go back to Spotify and press play.. track plays but no audio. Fix is to close app and re-open. Anyone else? #spotifyissues",@651833 Hey Chris! We've just sent a DM your way. Let's carry on chatting there /CP,playback_technical_issue,0.93,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
20,"@SpotifyCares Also, if I press the button of the EarPods to play/pause, Apple Music native app starts playing. It looks like iOS doesn’t recognize Spotify",@433385 Thanks for confirming! Does reinstalling the app help with this? The exact steps can be found at https://t.co/EqisDMwZAT. Let us know 🙂 /M,playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
21,".@115888 I would like to resolve an issue where every once in a while while I am listening, it stops playing, I press play, and the cycle just continues until I give up and try it again the next day, where then it works","@633721 Hey Omar! Could you let us know what device, operating system, and version of Spotify you're using? We'll see what we can suggest /JT",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
22,@SpotifyCares when i try to launch it says cannot find 'api-ms-win-core-processthreads-l1-1-2.ddl' please re-install this application. I re-installed and it still displays the error when i launch,"@263159 Hi, help's here! Can you let us know your desktop's operating system version? We'll see what we can suggest /DV",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
23,@115888 nope it’s just whenever i press the play button it doesn’t even do anything,"@524949 Got it! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /RV",playback_technical_issue,0.94,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
24,"@115888 #BugReport: Everytime I press back from 'About' to 'Overview' in Artist page, the page runs to bottom &amp; not to the top.","@574610 Hey! Can you let us know the device you're using, its operating system, and Spotify version? We'll see what we can suggest /NY",playback_technical_issue,0.85,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
25,"@SpotifyCares Steps to reproduce:
1) Open Spotify in Windows on a multi-monitor computer
2) Ensure Spotify is maximized/full-screen
3) Play a song song (not necessary to trigger the bug, but you won't see a frozen timer otherwise)
4) Press WIN+SHIFT+RIGHT ARROW
5) Observe the Spotify window",@671908 Hmm. We'd like to check things backstage. Could you fire over your account's email address via DM? Just click on the link above /NY,playback_technical_issue,0.82,auto_handle,Standard playback technical issue inquiry with adequate grounding (moderate).,,,,
26,"@SpotifyCares Thanks! No error message, I just press PLAY but nothing happens. I've tried it on other artists as well and I get the same issue",@211169 Can you send over your device model/operating system and the Spotify version you're using? We'll see what we can suggest /ME,playback_technical_issue,0.94,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
27,@115888 sharing no longer works on android.  press share and brings me back to Spotify home page.,"@501320 Hi there, help's here. Can you let us know the operating system and Spotify version you're using? Does logging out and back in help? /AC",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
28,"@115888 there's something wrong with the share button on Android. Everytime i press it, the app restarts",@126762 1: Hey Dana! Can you send us the make and model of your device? It'd help if you could also include the Android and Spotify...,playback_technical_issue,0.88,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
29,@SpotifyCares press play - nothing happes. no error msg. mobile works well. desktop app always problems.,@406725 Alright. Does logging out &gt; restarting your desktop &gt; logging back in to your account make a difference? /DV,playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
30,"@SpotifyCares Come on guys, fix your Windows 7 client! You are supposed to be Agile and Lean, companies even show videos of Spotify's development process as an example. This is really bad UX.  API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL",@262533 Hey there! Help's here. Can you let us know the app version you're running? We'll see what we can suggest /PB,playback_technical_issue,0.82,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
31,@115888 none of my playlists are working when I press shuffle. Wyd?,"@559782 Hey, that's not cool! Can you tell us what device, operating system, and Spotify version you're using? We'll see what we can suggest /CH",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
32,@SpotifyCares so my phone always plays songs in order no matter how many times I press shuffle if I select 'all songs' on Android. Is this a thing?,"@160199 Hey there! Can you let us know your device's make and model, Android and Spotify versions? We'll see what we can suggest /AP",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
33,"Having issues on my #iPhoneX with @115888. Playing Spotify if another app steals audio (say YouTube), go back to Spotify and press play.. track plays but no audio. Fix is to close app and re-open. Anyone else? #spotifyissues",@651833 Thanks for the info. Could you try reinstalling the app? Just follow the steps at https://t.co/grEcQYYFVS. Let us know how it goes /NS,playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
34,"Hey @SpotifyCares I wanted to play some music and while I was listening to my computer accidentally shut off during an ad, so I turn it back on and I load up the web player and it is frozen on the ad and I can't listen to my music. Every time I press play on a song, it won't work","@704737 Hey Chris, help's here! Can you let us know your device and the operating system you're using? We'll see what we can suggest /GK",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
35,"Spotify not showing up in my control center, my volume in my control center wont turn up when i press the buttons wtf","@393345 Hey there! What device, iOS and Spotify versions is this happening on? We'll lend a hand /SY",playback_technical_issue,0.92,escalate,Detected strong frustration or profanity in message.,,,,
36,"@SpotifyCares Hey, I'm currently buying premium per month, but want the yearly subscription offer you're doing. Do I need to cancel my subscription then resubscribe to do this?","@249290 1: Hey Nicola! If you're subscribed to Premium through our website, and using a recurring payment method such as a debit/credit card, you just need to cancel it at https://t.co/NVUb1YzkVr. Afterwards, just head to https://t.co/dMXQKcSwQz to sign up for the annual...",billing_subscription,0.92,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
37,"@SpotifyCares if I am trying the 3 month trial, if I cancel will I still be able to use the 3 months?

I’ll probably subscribe but I often forget to unsubscribe and it comes back at the worst of times.","@327465 Hey there, yup! Canceling only stops your subscription from renewing, so you can still use your Premium features until the end of the period you paid for. Hope this helps. If you have any other questions, just give us a shout 🙂 /KC",billing_subscription,0.87,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
38,@SpotifyCares how to cancel Premium account to join Premium Family,"@251260 Hi Vicki, sorry for the delay! You can cancel your Premium for Family plan anytime. Just follow the steps at https://t.co/pApw1XiBDY. We'll be here if you have other questions 👍 /RR",billing_subscription,0.75,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
39,"@SpotifyCares Just for reference, I have tried both a Prepaid Visa AND a Mastercard, and yes I tried to cancel my Premium and re-join, but nothing works",@252491 Hey James! We've just sent a DM your way. Let's carry on chatting there /MT,billing_subscription,0.82,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
40,"@SpotifyCares I have an account for my younger sister, she forgot her login details to cancel her trial. After 4 days and numerous attempts we finally got bk in! If I cancel the account now, will premium continue to work until the last day, payed for?","@759538 Hey there! Yes, it will. Her account will revert to Free on her renewal date. Let us know if you have other questions 🙂 /MG",billing_subscription,0.75,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
41,@SpotifyCares I don't want to cancel. I just dont like having auto renew on,"@731114 We hear you! Month-to-month subscription plans aren't available at this time, but we'll be sure to pass this on to the right people. Let us know if you need anything else /JJ https://t.co/ldFdZRiNAt",billing_subscription,0.85,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
42,"My credit card info was stolen, and used on @115888 in September &amp; again in October, still no refund, no customer service number to call. If you use Spotify, beware if you ever have fraud, no one to talk to. I’ve never had a Spotify account.",@577558 2: make sure your full card number is not visible in the picture. The first six and last four number will do /RR https://t.co/ldFdZRiNAt,billing_subscription,0.72,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
43,@SpotifyCares hi I redeemed my account last week and now my premium service gets cancel please help me!!! https://t.co/d9HBmDsagV,"@741143 Hey Javier, that doesn't sound good! We've just replied to your DM. Let's continue chatting there /GT",billing_subscription,0.78,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
44,@115888 Can we unsubscribe then subscribe again? 😂 I am currently paying for a Family Plan. :/,"@803975 Hey, help's here! You can cancel your subscription at any time by heading to: https://t.co/Q1zNbUXR4q. When you're ready to resubscribe, you can go here: https://t.co/08kG2GBNp5. Stay awesome 😁 /JZ",billing_subscription,0.72,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
45,@SpotifyCares It never told me to cancel before my free trial ended and now im down 10 bucks rip,"@586773 Hey Leo, help's here! Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VK https://t.co/ldFdZRiNAt",billing_subscription,0.85,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
46,"@SpotifyCares hello I tried to sign up for the student promotion, it didn't let go through cause sheerID didn't let me upload my docs , and I ended up getting charge 3 times, I want my money back please !",@124438 Hi! We've just sent you a DM. Let's carry on there /JE,billing_subscription,0.75,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
47,@115888 just got Spotify for 3 months if I cancel straight away will it end the premium immediately or just not renew? Thanks,@730872 Hi Dave! Can you send us your account's email address or username via DM? We'll take a look /GT https://t.co/ldFdZRiNAt,billing_subscription,0.85,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
48,Can I unsubscribe my current subscription to subscribe to that better promo? Loool @115888 https://t.co/udYNtlIxSs,@356135 Hi Vince! We're afraid the Intro Offer is available to those who haven't had Premium before. Hope this helped clear things up. Give us a shout if you have other questions 😉 /GT,billing_subscription,0.82,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
49,"Hi @SpotifyCares, I want to change the date that money leaves my account for premium, is this possible or do I have to cancel and renew again??","@275732 Hey Racha! We're afraid it's not possible to change your billing date. You would need to cancel your subscription, then resubscribe on the day you'd like to be charged. We hope this helps /JX",billing_subscription,0.92,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
50,@SpotifyCares i want to have a refund bcuz i have a debt of 400$ from yall and its only been a month,@342427 Hey Lauriane! We've just sent you a bit more info over DM. We'll carry on helping out there /DD,billing_subscription,0.75,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
51,@SpotifyCares like to change my billing date but due to be billed 2mro. Should I wait &amp; pay before I cancel? Want to change to 26th of month,@560026 Hi Elaine! You can change your billing date by following the steps here: https://t.co/lACZUXGpnB. Hope this helps /PL,billing_subscription,0.85,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
52,@117153 hey! was rejected in spotoify premium for students but i'm still charged. please give me a refund as i have not been granted  premium account.,@689954 Hey! We've just sent a DM your way. Let's carry on chatting there /NY,billing_subscription,0.85,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
53,@SpotifyCares i was charged for the student premium after just putting my payment information in. I turned out not be elligible so why did I still get charged? (The 9.99 was intentional) am I supposed to be issued a refund? Thanks https://t.co/1lxNIOLkOE,@717694 Hi Mélissa! We've just sent you a DM 🙂 /GS,billing_subscription,0.92,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
54,"@SpotifyCares Hello, my spotify account's reoccurring charge overdrafted my bank account. And I was hoping if you could refund the charge so I can get the refund from the overdraft charge. I get paid tomorrow and would reimburse my spotify account asap. Please :)","@511801 Hey there, help's here. Before anything else, can you fire over your account's email address or username in a DM? We'll take a look /LJ https://t.co/ldFdZRiNAt",billing_subscription,0.88,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
55,"@SpotifyCares didn't realise my student Spotify had ran out because it was deleted from my calender somehow, do I cancel my sub then redo?",@606748 Hi Lauren! Could you send us your account's username or email address via DM? We'll take a look under the hood /LP https://t.co/ldFdZRiNAt,billing_subscription,0.82,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
56,@SpotifyCares (2/2) please can you refund the payment just now and I will activate my new subscription?,"@432542 Hey! We've just sent you a DM, let's continue chatting there /DH",billing_subscription,0.78,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
57,@SpotifyCares how do I get a refund or how do I get Spotify for students if it says I have Spotify free but was charged 5 dollars,@326329 Hey! We've just sent a DM your way. Let's carry on chatting there /RV,billing_subscription,0.92,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
58,@SpotifyCares me and my wife have separate spotify accounts but we want to get the family plan. Do one of us have cancel an account and get invited to the family plan? what about the payment plan? do the single accounts automatically switch to the family account?,"@154261 Hey Robert! Not to worry, you'll both be able to keep your accounts, all you'll have to decide is who will be the owner. For more information on the Family plan, check this out: https://t.co/aFVsYApl0J. Hope this helps /JX",billing_subscription,0.92,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
59,@SpotifyCares My plan was switched out of student without me being notified so I've been paying double for months! any way i can get this money back? Thank youuu 😊 https://t.co/yWemt3civR,@270307 We've just sent a DM your way. Let's carry on chatting there 🙂 /CG,billing_subscription,0.85,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
60,@115888 i send you that spotify charge me again but you didnt reply.can you please refund my money asap.becuse i am very so sad to trust and do that again and you charge me twice per day.please stop doing this,@722256 Hey Zakaria! We've just sent you a bit more info over DM. Let's continue chatting there /CP,billing_subscription,0.82,escalate,Billing and subscription changes involve financial transactions and require account-level human verification.,,,,
61,@SpotifyCares I have heard from them and now they tell me it’s going to take 14 business days to get my refund. This is total bullshit!! U suck!,@381791 2: We recommend replying to the email the Support team sent you if you have any questions. They're here to help /K,cancellation_refund,0.92,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
62,@115888 cancel my account thanks .Very hard to contact you .,@524266 Hi there! Can you let us know your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,cancellation_refund,0.92,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
63,@115888 we need @146300 to be on your app or I will be forced to cancel my subscription to you and go to @126654 and we don't want that right 💕😊...  So fix it please like now thx bye 💖,@226665 Hey Ricky. We'd love to have him on Spotify! Hopefully we will in the future. Check this out: https://t.co/GGCDZEXji9 /NS,cancellation_refund,0.82,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
64,@SpotifyCares how do i cancel 30 day free trial,"@137677 Hey! To cancel your subscription, head to https://t.co/xmAXUGNEqM. If you have other questions, just give us a shout /RA",cancellation_refund,0.92,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
65,"@SpotifyCares I want to cancel whatever I am paying 9.99 a month for. I have no account apparently, so I can't cancel it! Free thru Toyota for a month maybe? Stop billing me.",@665885 2: make sure that the image you're sending doesn't contain your full 16-digit payment card number. We'll take a look backstage. /RA https://t.co/ldFdZRiNAt,cancellation_refund,0.92,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
66,@SpotifyCares umm excuse me but I’m not gonna pay for something I didn’t get. Please transfer my money back https://t.co/HeFsSmzn6p,@215512 Hi! We've just sent a DM your way. Let's carry on chatting there /JN,cancellation_refund,0.85,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
67,"@115888 so sick and tired of waiting on a refund. Over 35 emails, their replies make no sense and they DON’T listen to my ways to solve it!",@381791 Hey Angela! It looks like our Email Support team have sent you a message. We'd recommend getting back to them for more help with this /C,cancellation_refund,0.82,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
68,"@SpotifyCares A limit on # of songs I merely ""save"" to intend to stream later? Despite paying for Premium? Bad response. Try again, with the word ""refund""","@127639 2: We’d also love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 /KB",cancellation_refund,0.85,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
69,@SpotifyCares trying to cancel my account is frustrating. Please help! Msg has already been sent. Thanks.,@254220 Hi there! Apologies for the delay. We've just sent you a bit more info over DM. We'll carry on helping out there /JS,cancellation_refund,0.92,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
70,@SpotifyCares I need to cancel my account but my email was hacked and i don't have access to it and I don't want to keep being charged.,@339707 Hi there! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. Let us know if we can help with anything else /GN,cancellation_refund,0.92,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
71,@SpotifyCares when you wake up I'm going to need a refund,@202312 We've just sent a DM your way. Let's carry on chatting there /CE,cancellation_refund,0.92,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
72,@SpotifyCares The only way is to use a twitter account in the hopes you respond. I can't even cancel this subscription because it's not my account!,@339231 Hey! We've sent a DM your way. We'll carry on helping you there /SJ,cancellation_refund,0.85,escalate,Cancellations and refund requests involve monetary actions and require human agent processing.,,,,
73,Spotify better get their shit together before I cancel my subscription and move over to Apple Music 😒,@434365 We've just sent you a DM 🙂 /PX,general_complaint_feedback,0.78,auto_handle,Standard general complaint feedback inquiry with adequate grounding (moderate).,,,,
74,@115888 Why should my listening activity automatically be public? It's ridiculous. Tell me why I shouldn't cancel premium?,"@211675 Hi there! We're sorry you feel that way. Don't worry, we'll make sure to pass your feedback onto the right team /DV",general_complaint_feedback,0.72,escalate,Customer expressed high dissatisfaction.,,,,
75,Today I tried to cancel my @115888 Premium and I didn't even last 2 hours before I re-joined...,@659250 Woohoo! That's awesome. We welcome you back... https://t.co/ivXragbn16 /MG https://t.co/ldFdZRiNAt,general_complaint_feedback,0.72,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
76,@115888 your Windows 10 Mobile app UI is s***. Especially coming from using Groove Music massive downgrade.,@276221 Hi Devon! Sorry to hear that you feel that way. Can you let us know what's happening exactly? We'll see what we can suggest /MU,general_complaint_feedback,0.85,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
77,"@SpotifyCares iP7, 11.0.3... Search/Category &gt; PLP UX is atrocious. Sub. $, so why fix it unless I cancel my acct.? No need to optimize funnel. Feels like Vista security prompts.","@723620 Sorry for the confusion. Just to clarify, can you tell us more about the feature you're referring to, and what we can do to improve it? /JM",general_complaint_feedback,0.72,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
78,@SpotifyCares Thanks for helping. I have received a refund in less time comsuming than I thought. Did satisfactorily wise actions.,@219169 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 🙂 /MU,general_complaint_feedback,0.85,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
79,@spotifyCares is awesome; took care of our issue and issued us a refund! #GoodCustomerService,"@472546 No worries, helping out is our… https://t.co/Pbx4rbMWM5 😉 /JX",general_complaint_feedback,0.92,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
80,Dammit! @115888 just RickRolled us! I may have to cancel my subscription for that…,@119789 Hey Eric! Can you let us know what's happening exactly? We'll see what we can do /NS,general_complaint_feedback,0.72,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
81,.@Spotifycares for fuck's sake stop emailing me every time anyone puts out a new song i use the goddamn app every day i'll figure it out myself. i've clicked unsubscribe for this bullshit 4 times now let me fuckin live,"@662722 Hi. We're sorry you feel that way. You can turn off email notifications for music at https://t.co/uznw2Ttx8I. Any questions, just shout /LM",general_complaint_feedback,0.85,escalate,Detected strong frustration or profanity in message.,,,,
82,Bullshit like this is enough to get me to cancel my Spotify subscription. This is ridiculous.,"@318536 Hi there, help's here! Could you let us know the devices you're using to sync your local files? We'll see what we can suggest /JO",general_complaint_feedback,0.72,escalate,Detected strong frustration or profanity in message.,,,,
83,"@SpotifyCares where is the ""if you ever recommend another edited song to me I'm gonna cancel my account"" button?",@602587 Hey! Spotify doesn’t censor music – we make it available in whatever form it’s given to us. More info here: https://t.co/8oSIltuHIG /MT,general_complaint_feedback,0.85,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
84,"okay not gonna lie @SpotifyCares I didn't actually see this coming, but thank you for the aquarium music. Also I will not cancel my Premium https://t.co/CFN46PiE4P",@534544 Sweet! Glad to hear you've decided to stay. Give us a shout if you need us again. Have a... https://t.co/fOHcTvQJC3 /MG,general_complaint_feedback,0.92,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
85,@SpotifyCares @115888 I love how you can cancel my account in seconds but can't help adjust my issues after hours.,@445447 We've just sent you a DM 🙂 /SU,general_complaint_feedback,0.82,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
86,"@SpotifyCares Hey, I just wanted to let you know that the issue I was reporting in this tweet seems to have been fixed. Great job guys 👍🏼","@388854 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF, and we'll come running /CP",general_complaint_feedback,0.92,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
87,@115888 Can you pass on some great respect to the geeks who built the Spotify Connect stuff; it works really well.  It's really neat that my S2 Gear can control my phone which then controls my desktop spotify...  As a developer I appreciate the technological challenges.. #geek,"@156319 Hey Gordon, thanks for your kind words! If only we could get that sort of automation in other parts of our lives... https://t.co/5ovi5csbVt",general_complaint_feedback,0.92,auto_handle,Standard general complaint feedback inquiry with adequate grounding (strong).,,,,
